element,id,name
edge,-163419184#0,
edge,-163419184#1,
edge,-163419184#2,
edge,-163419184#3,
edge,-206883227#4,
edge,-206883227#5,
edge,-206883227#6,
edge,-351500650#0,
edge,-351500650#1,
edge,-351500650#2,
edge,-351500650#3,
edge,-351500650#4,
edge,-351500650#5,
edge,-351500650#6,
edge,-351500651#0,
edge,-351500651#1,
edge,-370785079,
edge,-370785080#0,
edge,-370785080#1,
edge,-456673731,
edge,-460419020#0,
edge,-460419020#1,
edge,-460419025,
edge,-462696721#0,
edge,-462696721#1,
edge,-6405767#2,
edge,-6405767#3,
edge,-6405767#4,
edge,-6405767#5,
edge,-6405767#6,
edge,-6405767#7,
edge,-6405767#8,
edge,-6405767#9,
edge,163419184#0,
edge,163419184#1,
edge,163419184#2,
edge,163419184#3,
edge,206883227#4,
edge,206883227#5,
edge,206883227#6,
edge,206883228#1,
edge,206883228#2,
edge,215869727#0,
edge,215869727#1,
edge,22760466#1,
edge,22760466#2,
edge,22760466#3,
edge,22760466#4,
edge,239828328#0,
edge,239828328#1,
edge,243329197#1,
edge,243329197#10,
edge,243329197#2,
edge,243329197#3,
edge,243329197#4,
edge,243329197#5,
edge,243329197#6,
edge,243329197#7,
edge,243329197#8,
edge,243329197#9,
edge,256891817#0,
edge,256891817#1,
edge,256891817#2,
edge,256891817#3,
edge,256891817#4,
edge,256891818#0,
edge,256891818#1,
edge,256891818#2,
edge,256891818#3,
edge,256891818#4,
edge,256891818#5,
edge,256891819,
edge,351500650#0,
edge,351500650#1,
edge,351500650#2,
edge,351500650#3,
edge,351500650#4,
edge,351500650#5,
edge,351500650#6,
edge,351500651#0,
edge,351500651#1,
edge,370785079,
edge,370785080#0,
edge,370785080#1,
edge,370785082#0,
edge,370785082#1,
edge,370785082#2,
edge,456673731,
edge,460419020#0,
edge,460419020#1,
edge,460419025,
edge,462696721#0,
edge,462696721#1,
edge,6405767#2,
edge,6405767#3,
edge,6405767#4,
edge,6405767#5,
edge,6405767#6,
edge,6405767#7,
edge,6405767#8,
edge,6405767#9,
edge,6515422#0,
edge,6515422#1,
edge,6515422#2,
edge,6515422#3,
edge,6515422#4,
edge,8111072#0,
edge,8111072#1,
edge,8111073#0,
edge,8111073#1,
edge,8111073#2,
