OBJECTID,BLOCKID,ROWNBR,BLOCK_ST,BLOCK_END,WIDTH_OFFS,GEOBASYS,SPACELENGT,SPACETYPE,SPACETYPED,TIME_LIMIT,SPACE_NB,CATEGORY,SIDE,CURRENT_ST,ELMNTKEY,SHAPE_Leng
37,OW-25,,36.500000000000000,70.500000000000000,-23,,34,L/UL,LOAD/UNLOAD ZONE,30,-00/02,LOAD,NE,INSVC,36114,33.957212629475734
59,OW-23,,346.000000000000000,365.000000000000000,25,,19,PS,PAY STATION,240,-29,PAID,SW,INSVC,13521,18.970691183453397
72,26-01,,193.000000000000000,210.000000000000000,24,,17,PS,PAY STATION,240,-14,PAID,NW,INSVC,58617,16.949874113146851
93,OW-25,,189.000000000000000,207.000000000000000,23,,18,PS,PAY STATION,240,-15,PAID,SW,INSVC,36113,17.977365359626674
208,25-01,,111.000000000000000,128.000000000000000,-21,,17,PS,PAY STATION,240,-07,PAID,SE,INSVC,13346,16.953607060316838
278,25-01,,256.000000000000000,277.500000000000000,-21,,22,CRBBLB,CURB BULB,,-21,NS,SE,INSVC,13346,21.441297047958582
280,01-23,,379.500000000000000,397.500000000000000,-28,,18,NP,NO PARKING,,-34,NP,NE,INSVC,24042,17.959963518593288
302,01-24,,166.000000000000000,174.000000000000000,-27,,8,CLR,CLEARANCE,,,NP,NE,INSVC,1026,7.991865992696685
303,26-01,,61.000000000000000,80.000000000000000,24,,19,PS,PAY STATION,240,-02,PAID,NW,INSVC,58617,18.943960493752854
323,OW-25,,182.000000000000000,189.000000000000000,23,,7,CLR,CLEARANCE,,,NP,SW,INSVC,36113,6.991162467217020
396,25-01,,216.000000000000000,233.500000000000000,21,,18,PS,PAY STATION,240,-16,PAID,NW,INSVC,13345,17.452207207838022
425,01-24,,286.500000000000000,294.500000000000000,-27,,8,CLR,CLEARANCE,,,NP,NE,INSVC,1026,7.991865992696685
426,26-01,,175.000000000000000,193.000000000000000,24,,18,CVLZ,COMMERCIAL VEHICLE LOAD ZONE,30,-12T,LOAD,NW,INSVC,58617,17.946940988662721
470,01-23,,419.500000000000000,433.000000000000000,29,,14,CLR,CLEARANCE,,,NP,SW,INSVC,24041,7.483357783925943
513,25-01,,175.000000000000000,192.000000000000000,21,,17,PS,PAY STATION,240,-12,PAID,NW,INSVC,13345,16.953516653928485
558,OW-25,,159.500000000000000,176.500000000000000,-23,,17,PS,PAY STATION,240,-12,PAID,NE,INSVC,36114,16.978627853855279
562,25-01,,180.000000000000000,198.000000000000000,-21,,18,PS,PAY STATION,240,-13,PAID,SE,INSVC,13346,17.950854737020840
590,01-24,,260.000000000000000,277.000000000000000,-27,,17,PS,PAY STATION,240,-20,PAID,NE,INSVC,1026,16.982663046337013
591,26-03,,61.000000000000000,73.000000000000000,-30,,12,PS,PAY STATION,240,-03,PAID,SE,INSVC,81290,11.995295044445969
620,OW-25,,30.500000000000000,36.500000000000000,-23,,6,CR,CURB RAMP,,,NS,NE,INSVC,36114,5.992424972463954
654,26-01,,279.000000000000000,306.500000000000000,-24,,28,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,SE,INSVC,58618,27.418897556327398
674,OW-25,,283.000000000000000,284.500000000000000,23,,2,CR,CURB RAMP,,,NS,SW,INSVC,36113,1.498082576329581
685,OW-23,,380.000000000000000,388.000000000000000,-25,,8,CLR,CLEARANCE,,,NP,NE,INSVC,13522,7.987652223630005
697,01-24,,140.500000000000000,148.500000000000000,30,,8,CLR,CLEARANCE,,,NP,SW,INSVC,1025,7.991865992696685
698,26-01,,85.000000000000000,104.000000000000000,-24,,19,PS,PAY STATION,240,-05,PAID,SE,INSVC,58618,18.943960493752854
742,25-01,,240.500000000000000,257.500000000000000,21,,17,PS,PAY STATION,240,-18,PAID,NW,INSVC,13345,16.953607050297119
789,25-01,,104.000000000000000,111.000000000000000,-21,,7,CLR,CLEARANCE,,,NP,SE,INSVC,13346,6.980884621950616
819,01-24,,253.000000000000000,260.000000000000000,-27,,7,CLR,CLEARANCE,,,NP,NE,INSVC,1026,6.992887595496552
820,26-01,,254.000000000000000,279.000000000000000,24,,25,CRBBLB,CURB BULB,,-20,NS,NW,INSVC,58617,24.926258363817688
842,OW-25,,232.000000000000000,270.000000000000000,23,,38,CRBBLB,CURB BULB,,-19/21,NS,SW,INSVC,36113,37.952162610458430
868,01-24,,101.500000000000000,121.500000000000000,30,,20,PS,PAY STATION,240,-07,PAID,SW,INSVC,1025,19.979641302583396
940,26-01,,122.000000000000000,129.000000000000000,-24,,7,CLR,CLEARANCE,,,NP,SE,INSVC,58618,6.979360424713265
982,25-01,,293.500000000000000,305.000000000000000,21,,12,CLR,CLEARANCE,,,NP,NW,INSVC,13345,11.468665026973067
1024,OW-23,,404.000000000000000,407.000000000000000,25,,3,CLR,CLEARANCE,,,NP,SW,INSVC,13521,2.995339754867537
1046,OW-25,,176.500000000000000,193.500000000000000,-23,,17,PS,PAY STATION,240,-14,PAID,NE,INSVC,36114,16.978584765621445
1059,26-01,,150.000000000000000,173.500000000000000,24,,24,ALLEY,ALLEY,,-10,NS,NW,INSVC,58617,23.430681746797653
1078,OW-25,,207.000000000000000,214.000000000000000,23,,7,CLR,CLEARANCE,,,NP,SW,INSVC,36113,6.991162467217020
1150,25-01,,239.000000000000000,256.000000000000000,-21,,17,PS,PAY STATION,240,-19,PAID,SE,INSVC,13346,16.953559678655427
1178,01-24,,114.000000000000000,121.000000000000000,-27,,7,CLR,CLEARANCE,,,NP,NE,INSVC,1026,6.992844521913427
1179,26-01,,222.500000000000000,256.500000000000000,-24,,34,PLZ,PASSENGER LOAD ZONE,3,-17/19,ZONE,SE,INSVC,58618,33.899752557406586
1212,25-01,,257.500000000000000,279.000000000000000,21,,22,CRBBLB,CURB BULB,,-20,NS,NW,INSVC,13345,21.441254013247800
1254,OW-25,,19.000000000000000,28.000000000000000,23,,9,XW,CROSSWALK,,,NS,SW,INSVC,36113,8.988637468727900
1258,25-01,,145.000000000000000,150.000000000000000,-21,,5,CLR,CLEARANCE,,,NP,SE,INSVC,13346,4.986384899543945
1288,26-01,,198.500000000000000,215.500000000000000,-24,,17,PS,PAY STATION,240,-15,PAID,SE,INSVC,58618,16.949831064821872
1308,OW-25,,120.000000000000000,139.000000000000000,23,,19,CVLZ,COMMERCIAL VEHICLE LOAD ZONE,30,-09T,LOAD,SW,INSVC,36113,18.976102843361360
1381,25-01,,39.000000000000000,41.500000000000000,21,,2,CLR,CLEARANCE,,,NP,NW,INSVC,13345,2.493147262623004
1410,01-24,,34.500000000000000,52.500000000000000,-27,,18,HYD,HYDRANT,,-00,NS,NE,INSVC,1026,17.981688780861425
1454,26-01,,151.000000000000000,173.000000000000000,-24,,22,ALLEY,ALLEY,,-11,NS,SE,INSVC,58618,21.935109428784418
1504,OW-23,,355.000000000000000,380.000000000000000,-25,,25,DW,DRIVEWAY,,-26,NS,NE,INSVC,13522,24.961417694509866
1516,26-01,,42.000000000000000,60.000000000000000,-24,,18,PS,PAY STATION,240,-01,PAID,SE,INSVC,58618,17.946897960492826
1558,25-01,,291.500000000000000,293.500000000000000,21,,2,CR,CURB RAMP,,,NS,NW,INSVC,13345,1.994499722407885
1605,OW-25,,21.000000000000000,30.500000000000000,-23,,10,XW,CROSSWALK,,,NS,NE,INSVC,36114,9.488029894088454
1638,01-24,,52.500000000000000,70.500000000000000,-27,,18,PS,PAY STATION,240,-02,PAID,NE,INSVC,1026,17.981684518245068
1659,OW-25,,67.500000000000000,74.500000000000000,23,,7,CLR,CLEARANCE,,,NP,SW,INSVC,36113,6.991162478235379
1684,01-24,,34.000000000000000,56.000000000000000,30,,22,TAZ,TOW AWAY ZONE,,-01,NP,SW,INSVC,1025,21.977641171660711
