flow,duration,cap,seed,result
0.2,0.2,1,0,-102025
0.2,0.2,1,1,-101484
0.2,0.2,1,2,-101294
0.2,0.2,1,3,-101797
0.2,0.2,1,4,-101439
0.2,0.2,2,0,-100758
0.2,0.2,2,1,-101362
0.2,0.2,2,2,-101583
0.2,0.2,2,3,-101346
0.2,0.2,2,4,-101116
0.2,0.2,3,0,-100993
0.2,0.2,3,1,-100812
0.2,0.2,3,2,-101207
0.2,0.2,3,3,-101350
0.2,0.2,3,4,-100862
0.2,0.2,4,0,-100586
0.2,0.2,4,1,-100845
0.2,0.2,4,2,-101217
0.2,0.2,4,3,-100786
0.2,0.2,4,4,-101486
0.2,0.2,5,0,-100729
0.2,0.2,5,1,-100686
0.2,0.2,5,2,-101019
0.2,0.2,5,3,-101046
0.2,0.2,5,4,-102017
0.2,0.2,6,0,-101286
0.2,0.2,6,1,-100724
0.2,0.2,6,2,-101891
0.2,0.2,6,3,-101026
0.2,0.2,6,4,-100876
0.2,0.2,7,0,-101230
0.2,0.2,7,1,-101248
0.2,0.2,7,2,-101589
0.2,0.2,7,3,-101328
0.2,0.2,7,4,-100732
0.2,0.2,8,0,-101642
0.2,0.2,8,1,-101471
0.2,0.2,8,2,-101662
0.2,0.2,8,3,-102275
0.2,0.2,8,4,-102657
0.2,0.2,9,0,-101229
0.2,0.2,9,1,-101187
0.2,0.2,9,2,-101384
0.2,0.2,9,3,-101190
0.2,0.2,9,4,-101348
0.2,0.25,1,0,-101821
0.2,0.25,1,1,-101253
0.2,0.25,1,2,-101308
0.2,0.25,1,3,-101637
0.2,0.25,1,4,-101809
0.2,0.25,2,0,-101011
0.2,0.25,2,1,-101316
0.2,0.25,2,2,-101288
0.2,0.25,2,3,-101640
0.2,0.25,2,4,-101172
0.2,0.25,3,0,-101210
0.2,0.25,3,1,-101419
0.2,0.25,3,2,-100931
0.2,0.25,3,3,-100774
0.2,0.25,3,4,-101338
0.2,0.25,4,0,-101143
0.2,0.25,4,1,-101892
0.2,0.25,4,2,-100811
0.2,0.25,4,3,-100718
0.2,0.25,4,4,-101003
0.2,0.25,5,0,-100641
0.2,0.25,5,1,-101134
0.2,0.25,5,2,-101205
0.2,0.25,5,3,-101390
0.2,0.25,5,4,-101100
0.2,0.25,6,0,-100742
0.2,0.25,6,1,-101581
0.2,0.25,6,2,-101399
0.2,0.25,6,3,-101351
0.2,0.25,6,4,-100950
0.2,0.25,7,0,-101494
0.2,0.25,7,1,-101599
0.2,0.25,7,2,-101959
0.2,0.25,7,3,-102404
0.2,0.25,7,4,-101015
0.2,0.25,8,0,-101741
0.2,0.25,8,1,-102352
0.2,0.25,8,2,-101462
0.2,0.25,8,3,-101000
0.2,0.25,8,4,-101835
0.2,0.25,9,0,-101181
0.2,0.25,9,1,-101547
0.2,0.25,9,2,-101298
0.2,0.25,9,3,-100681
0.2,0.25,9,4,-101198
0.2,0.33,1,0,-101314
0.2,0.33,1,1,-101458
0.2,0.33,1,2,-101358
0.2,0.33,1,3,-101334
0.2,0.33,1,4,-101288
0.2,0.33,2,0,-100943
0.2,0.33,2,1,-101052
0.2,0.33,2,2,-101193
0.2,0.33,2,3,-101513
0.2,0.33,2,4,-101176
0.2,0.33,3,0,-100712
0.2,0.33,3,1,-101191
0.2,0.33,3,2,-101369
0.2,0.33,3,3,-101319
0.2,0.33,3,4,-101014
0.2,0.33,4,0,-101139
0.2,0.33,4,1,-100981
0.2,0.33,4,2,-100803
0.2,0.33,4,3,-100997
0.2,0.33,4,4,-101097
0.2,0.33,5,0,-101011
0.2,0.33,5,1,-100950
0.2,0.33,5,2,-101591
0.2,0.33,5,3,-101017
0.2,0.33,5,4,-100917
0.2,0.33,6,0,-101139
0.2,0.33,6,1,-100956
0.2,0.33,6,2,-101653
0.2,0.33,6,3,-100794
0.2,0.33,6,4,-100850
0.2,0.33,7,0,-101195
0.2,0.33,7,1,-102497
0.2,0.33,7,2,-100984
0.2,0.33,7,3,-102039
0.2,0.33,7,4,-100754
0.2,0.33,8,0,-101144
0.2,0.33,8,1,-101170
0.2,0.33,8,2,-101543
0.2,0.33,8,3,-102311
0.2,0.33,8,4,-102379
0.2,0.33,9,0,-100734
0.2,0.33,9,1,-100981
0.2,0.33,9,2,-100666
0.2,0.33,9,3,-100659
0.2,0.33,9,4,-101577
0.2,0.5,1,0,-101119
0.2,0.5,1,1,-101350
0.2,0.5,1,2,-101439
0.2,0.5,1,3,-101675
0.2,0.5,1,4,-101295
0.2,0.5,2,0,-101104
0.2,0.5,2,1,-100953
0.2,0.5,2,2,-101540
0.2,0.5,2,3,-101682
0.2,0.5,2,4,-101443
0.2,0.5,3,0,-100768
0.2,0.5,3,1,-101552
0.2,0.5,3,2,-100747
0.2,0.5,3,3,-101007
0.2,0.5,3,4,-100781
0.2,0.5,4,0,-100652
0.2,0.5,4,1,-101135
0.2,0.5,4,2,-100919
0.2,0.5,4,3,-101220
0.2,0.5,4,4,-101222
0.2,0.5,5,0,-101345
0.2,0.5,5,1,-101293
0.2,0.5,5,2,-101636
0.2,0.5,5,3,-101034
0.2,0.5,5,4,-101315
0.2,0.5,6,0,-101163
0.2,0.5,6,1,-101730
0.2,0.5,6,2,-101645
0.2,0.5,6,3,-101621
0.2,0.5,6,4,-101917
0.2,0.5,7,0,-101608
0.2,0.5,7,1,-102097
0.2,0.5,7,2,-101761
0.2,0.5,7,3,-101517
0.2,0.5,7,4,-101454
0.2,0.5,8,0,-101241
0.2,0.5,8,1,-101373
0.2,0.5,8,2,-100822
0.2,0.5,8,3,-101420
0.2,0.5,8,4,-102490
0.2,0.5,9,0,-102480
0.2,0.5,9,1,-101331
0.2,0.5,9,2,-101607
0.2,0.5,9,3,-100622
0.2,0.5,9,4,-101030
0.25,0.2,1,0,-1465
0.25,0.2,1,1,-101900
0.25,0.2,1,2,-101750
0.25,0.2,1,3,-101565
0.25,0.2,1,4,-102065
0.25,0.2,2,0,-102160
0.25,0.2,2,1,-101122
0.25,0.2,2,2,-101980
0.25,0.2,2,3,-101264
0.25,0.2,2,4,-101303
0.25,0.2,3,0,-100700
0.25,0.2,3,1,-101446
0.25,0.2,3,2,-100833
0.25,0.2,3,3,-101262
0.25,0.2,3,4,-101515
0.25,0.2,4,0,-100807
0.25,0.2,4,1,-101772
0.25,0.2,4,2,-101424
0.25,0.2,4,3,-101469
0.25,0.2,4,4,-101031
0.25,0.2,5,0,-101172
0.25,0.2,5,1,-100914
0.25,0.2,5,2,-100940
0.25,0.2,5,3,-100960
0.25,0.2,5,4,-100630
0.25,0.2,6,0,-100986
0.25,0.2,6,1,-100980
0.25,0.2,6,2,-101512
0.25,0.2,6,3,-101119
0.25,0.2,6,4,-101741
0.25,0.2,7,0,-101631
0.25,0.2,7,1,-101733
0.25,0.2,7,2,-101279
0.25,0.2,7,3,-101610
0.25,0.2,7,4,-101074
0.25,0.2,8,0,-100992
0.25,0.2,8,1,-101373
0.25,0.2,8,2,-101335
0.25,0.2,8,3,-101533
0.25,0.2,8,4,-101298
0.25,0.2,9,0,-101218
0.25,0.2,9,1,-100932
0.25,0.2,9,2,-100868
0.25,0.2,9,3,-100640
0.25,0.2,9,4,-100737
0.33,0.2,1,0,-977
0.33,0.2,1,1,-101791
0.33,0.2,1,2,-101593
0.33,0.2,1,3,-101914
0.33,0.2,1,4,-102315
0.33,0.2,2,0,-102403
0.33,0.2,2,1,-101579
