flow,duration,cap,seed,result
0.2,0.2,1,0,-102025
0.2,0.2,1,1,-101484
0.2,0.2,1,2,-101294
0.2,0.2,1,3,-102383
0.2,0.2,1,4,-101572
0.2,0.2,2,0,-101415
0.2,0.2,2,1,-101339
0.2,0.2,2,2,-101384
0.2,0.2,2,3,-101965
0.2,0.2,2,4,-101517
0.2,0.2,3,0,-102171
0.2,0.2,3,1,-101720
0.2,0.2,3,2,-101418
0.2,0.2,3,3,-101481
0.2,0.2,3,4,-101014
0.2,0.2,4,0,-101712
0.2,0.2,4,1,-101836
0.2,0.2,4,2,-101446
0.2,0.2,4,3,-101666
0.2,0.2,4,4,-101366
0.2,0.2,5,0,-101806
0.2,0.2,5,1,-101320
0.2,0.2,5,2,-101524
0.2,0.2,5,3,-101411
0.2,0.2,5,4,-101301
0.2,0.2,6,0,-101001
0.2,0.2,6,1,-101459
0.2,0.2,6,2,-101600
0.2,0.2,6,3,-101526
0.2,0.2,6,4,-101293
0.2,0.2,7,0,-101204
0.2,0.2,7,1,-101366
0.2,0.2,7,2,-101499
0.2,0.2,7,3,-101823
0.2,0.2,7,4,-101305
0.2,0.2,8,0,-100844
0.2,0.2,8,1,-101518
0.2,0.2,8,2,-101933
0.2,0.2,8,3,-101123
0.2,0.2,8,4,-101260
0.2,0.2,9,0,-101229
0.2,0.2,9,1,-101620
0.2,0.2,9,2,-101603
0.2,0.2,9,3,-101317
0.2,0.2,9,4,-101504
0.2,0.25,1,0,-101821
0.2,0.25,1,1,-101631
0.2,0.25,1,2,-101308
0.2,0.25,1,3,-101637
0.2,0.25,1,4,-101671
0.2,0.25,2,0,-101810
0.2,0.25,2,1,-101332
0.2,0.25,2,2,-101476
0.2,0.25,2,3,-101698
0.2,0.25,2,4,-101342
0.2,0.25,3,0,-102374
0.2,0.25,3,1,-101828
0.2,0.25,3,2,-101638
0.2,0.25,3,3,-101633
0.2,0.25,3,4,-101318
0.2,0.25,4,0,-101008
0.2,0.25,4,1,-101733
0.2,0.25,4,2,-101378
0.2,0.25,4,3,-101642
0.2,0.25,4,4,-101357
0.2,0.25,5,0,-101962
0.2,0.25,5,1,-101401
0.2,0.25,5,2,-101707
0.2,0.25,5,3,-101518
0.2,0.25,5,4,-101009
0.2,0.25,6,0,-101031
0.2,0.25,6,1,-100959
0.2,0.25,6,2,-101459
0.2,0.25,6,3,-101972
0.2,0.25,6,4,-101028
0.2,0.25,7,0,-101099
0.2,0.25,7,1,-101905
0.2,0.25,7,2,-101482
0.2,0.25,7,3,-101392
0.2,0.25,7,4,-101232
0.2,0.25,8,0,-101404
0.2,0.25,8,1,-101517
0.2,0.25,8,2,-102090
0.2,0.25,8,3,-101576
0.2,0.25,8,4,-101030
0.2,0.25,9,0,-100946
0.2,0.25,9,1,-101932
0.2,0.25,9,2,-102025
0.2,0.25,9,3,-100831
0.2,0.25,9,4,-101522
0.2,0.33,1,0,-101135
0.2,0.33,1,1,-101531
0.2,0.33,1,2,-101358
0.2,0.33,1,3,-101489
0.2,0.33,1,4,-101468
0.2,0.33,2,0,-101391
0.2,0.33,2,1,-101204
0.2,0.33,2,2,-101335
0.2,0.33,2,3,-101086
0.2,0.33,2,4,-101524
0.2,0.33,3,0,-101026
0.2,0.33,3,1,-101372
0.2,0.33,3,2,-101644
0.2,0.33,3,3,-101426
0.2,0.33,3,4,-101462
0.2,0.33,4,0,-101230
0.2,0.33,4,1,-101969
0.2,0.33,4,2,-101367
0.2,0.33,4,3,-101583
0.2,0.33,4,4,-101681
0.2,0.33,5,0,-101810
0.2,0.33,5,1,-101559
0.2,0.33,5,2,-101420
0.2,0.33,5,3,-101519
0.2,0.33,5,4,-101289
0.2,0.33,6,0,-100967
0.2,0.33,6,1,-101801
0.2,0.33,6,2,-101590
0.2,0.33,6,3,-101402
0.2,0.33,6,4,-101155
0.2,0.33,7,0,-101061
0.2,0.33,7,1,-101463
0.2,0.33,7,2,-101364
0.2,0.33,7,3,-101459
0.2,0.33,7,4,-101175
0.2,0.33,8,0,-100979
0.2,0.33,8,1,-101464
0.2,0.33,8,2,-101861
0.2,0.33,8,3,-101532
0.2,0.33,8,4,-101324
0.2,0.33,9,0,-100897
0.2,0.33,9,1,-101218
0.2,0.33,9,2,-101778
0.2,0.33,9,3,-101830
0.2,0.33,9,4,-101255
0.2,0.5,1,0,-101015
0.2,0.5,1,1,-101213
0.2,0.5,1,2,-101391
0.2,0.5,1,3,-101510
0.2,0.5,1,4,-101464
0.2,0.5,2,0,-100882
0.2,0.5,2,1,-101246
0.2,0.5,2,2,-101473
0.2,0.5,2,3,-101598
0.2,0.5,2,4,-100832
0.2,0.5,3,0,-101042
0.2,0.5,3,1,-101292
0.2,0.5,3,2,-101199
0.2,0.5,3,3,-101568
0.2,0.5,3,4,-101200
0.2,0.5,4,0,-100959
0.2,0.5,4,1,-101717
0.2,0.5,4,2,-101529
0.2,0.5,4,3,-101822
0.2,0.5,4,4,-101186
0.2,0.5,5,0,-100836
0.2,0.5,5,1,-101225
0.2,0.5,5,2,-101403
0.2,0.5,5,3,-101378
0.2,0.5,5,4,-101007
0.2,0.5,6,0,-100850
0.2,0.5,6,1,-101898
0.2,0.5,6,2,-101487
0.2,0.5,6,3,-101106
0.2,0.5,6,4,-101342
0.2,0.5,7,0,-101170
0.2,0.5,7,1,-101319
0.2,0.5,7,2,-101920
0.2,0.5,7,3,-100770
0.2,0.5,7,4,-101148
0.2,0.5,8,0,-101106
0.2,0.5,8,1,-101489
0.2,0.5,8,2,-101572
0.2,0.5,8,3,-101443
0.2,0.5,8,4,-101276
0.2,0.5,9,0,-101147
0.2,0.5,9,1,-101354
0.2,0.5,9,2,-101280
0.2,0.5,9,3,-100967
0.2,0.5,9,4,-101111
0.25,0.2,1,0,-1689
0.25,0.2,1,1,-101693
0.25,0.2,1,2,-102306
0.25,0.2,1,3,-101768
0.25,0.2,1,4,-101623
0.25,0.2,2,0,-1515
0.25,0.2,2,1,-102048
0.25,0.2,2,2,-101298
0.25,0.2,2,3,-101887
0.25,0.2,2,4,-101983
0.25,0.2,3,0,-1824
0.25,0.2,3,1,-101462
0.25,0.2,3,2,-101063
0.25,0.2,3,3,-101905
0.25,0.2,3,4,-1740
0.25,0.2,4,0,-101723
0.25,0.2,4,1,-101578
0.25,0.2,4,2,-101516
0.25,0.2,4,3,-101686
0.25,0.2,4,4,-101435
0.25,0.2,5,0,-101977
0.25,0.2,5,1,-102004
0.25,0.2,5,2,-101360
0.25,0.2,5,3,-101479
0.25,0.2,5,4,-101993
0.25,0.2,6,0,-102028
0.25,0.2,6,1,-101685
0.25,0.2,6,2,-101756
0.25,0.2,6,3,-101563
0.25,0.2,6,4,-101430
0.25,0.2,7,0,-102176
0.25,0.2,7,1,-101725
0.25,0.2,7,2,-101408
0.25,0.2,7,3,-102029
0.25,0.2,7,4,-101423
0.25,0.2,8,0,-101224
0.25,0.2,8,1,-101677
0.25,0.2,8,2,-101748
0.25,0.2,8,3,-101984
0.25,0.2,8,4,-102022
0.25,0.2,9,0,-100946
0.25,0.2,9,1,-102583
0.25,0.2,9,2,-101626
0.25,0.2,9,3,-101548
0.25,0.2,9,4,-101478
0.25,0.25,1,0,-102196
0.25,0.25,1,1,-101840
0.25,0.25,1,2,-101670
0.25,0.25,1,3,-101615
0.25,0.25,1,4,-101851
0.25,0.25,2,0,-1510
0.25,0.25,2,1,-101685
