OBJECTID,BLOCKID,ROWNBR,BLOCK_ST,BLOCK_END,WIDTH_OFFS,GEOBASYS,SPACELENGT,SPACETYPE,SPACETYPED,TIME_LIMIT,SPACE_NB,CATEGORY,SIDE,CURRENT_ST,ELMNTKEY,SHAPE_Leng
12,26-03,,153.000000000000000,177.000000000000000,25,,24,ALLEY,ALLEY,,-10,NS,NW,INSVC,81289,23.990542724578567
26,26-03,,178.500000000000000,188.500000000000000,-30,,10,PS,PAY STATION,240,-23,PAID,SE,INSVC,81290,9.996034000592989
72,26-01,,193.000000000000000,210.000000000000000,24,,17,PS,PAY STATION,240,-14,PAID,NW,INSVC,58617,16.949874113146851
138,26-03,,278.000000000000000,278.500000000000000,25,,0,CLR,CLEARANCE,,,NP,NW,INSVC,81289,0.499814194161970
152,04-26,,127.500000000000000,144.500000000000000,30,,17,PS,PAY STATION,240,-09,PAID,SW,INSVC,6197,16.999386777986487
192,04-26,,63.000000000000000,105.000000000000000,-32,,42,PLZ,PASSENGER LOAD ZONE,3,-02/04,ZONE,NE,INSVC,6198,41.998400904888861
194,26-03,,184.000000000000000,202.500000000000000,25,,18,PS-CAR,PAY STATION - CARPOOL,240,-12,CARPOOL,NW,INSVC,81289,18.492664176901350
208,25-01,,111.000000000000000,128.000000000000000,-21,,17,PS,PAY STATION,240,-07,PAID,SE,INSVC,13346,16.953607060316838
278,25-01,,256.000000000000000,277.500000000000000,-21,,22,CRBBLB,CURB BULB,,-21,NS,SE,INSVC,13346,21.441297047958582
280,01-23,,379.500000000000000,397.500000000000000,-28,,18,NP,NO PARKING,,-34,NP,NE,INSVC,24042,17.959963518593288
302,01-24,,166.000000000000000,174.000000000000000,-27,,8,CLR,CLEARANCE,,,NP,NE,INSVC,1026,7.991865992696685
303,26-01,,61.000000000000000,80.000000000000000,24,,19,PS,PAY STATION,240,-02,PAID,NW,INSVC,58617,18.943960493752854
348,01-23,,306.000000000000000,312.000000000000000,29,,6,CLR,CLEARANCE,,,NP,SW,INSVC,24041,5.986719820033614
364,04-26,,87.500000000000000,104.500000000000000,30,,17,PS,PAY STATION,240,-05,PAID,SW,INSVC,6197,16.999386788012096
396,25-01,,216.000000000000000,233.500000000000000,21,,18,PS,PAY STATION,240,-16,PAID,NW,INSVC,13345,17.452207207838022
425,01-24,,286.500000000000000,294.500000000000000,-27,,8,CLR,CLEARANCE,,,NP,NE,INSVC,1026,7.991865992696685
426,26-01,,175.000000000000000,193.000000000000000,24,,18,CVLZ,COMMERCIAL VEHICLE LOAD ZONE,30,-12T,LOAD,NW,INSVC,58617,17.946940988662721
470,01-23,,419.500000000000000,433.000000000000000,29,,14,CLR,CLEARANCE,,,NP,SW,INSVC,24041,7.483357783925943
513,25-01,,175.000000000000000,192.000000000000000,21,,17,PS,PAY STATION,240,-12,PAID,NW,INSVC,13345,16.953516653928485
531,26-03,,107.500000000000000,125.000000000000000,25,,18,PS-CAR,PAY STATION - CARPOOL,240,-06,CARPOOL,NW,INSVC,81289,17.493126217832920
547,26-03,,236.500000000000000,262.500000000000000,-30,,26,BA,BARRIER AREA,,-33/35,NS,SE,INSVC,81290,25.989713359193036
562,25-01,,180.000000000000000,198.000000000000000,-21,,18,PS,PAY STATION,240,-13,PAID,SE,INSVC,13346,17.950854737020840
590,01-24,,260.000000000000000,277.000000000000000,-27,,17,PS,PAY STATION,240,-20,PAID,NE,INSVC,1026,16.982663046337013
591,26-03,,61.000000000000000,73.000000000000000,-30,,12,PS,PAY STATION,240,-03,PAID,SE,INSVC,81290,11.995295044445969
654,26-01,,279.000000000000000,306.500000000000000,-24,,28,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,SE,INSVC,58618,27.418897556327398
697,01-24,,140.500000000000000,148.500000000000000,30,,8,CLR,CLEARANCE,,,NP,SW,INSVC,1025,7.991865992696685
698,26-01,,85.000000000000000,104.000000000000000,-24,,19,PS,PAY STATION,240,-05,PAID,SE,INSVC,58618,18.943960493752854
713,04-26,,192.500000000000000,210.500000000000000,30,,18,PS,PAY STATION,240,-15,PAID,SW,INSVC,6197,17.999282091840612
742,25-01,,240.500000000000000,257.500000000000000,21,,17,PS,PAY STATION,240,-18,PAID,NW,INSVC,13345,16.953607050297119
760,26-03,,282.500000000000000,293.000000000000000,-30,,10,XW,CROSSWALK,,,NS,SE,INSVC,81290,10.495848185216007
772,04-26,,264.000000000000000,279.000000000000000,-32,,15,XW,CROSSWALK,,,NS,NE,INSVC,6198,14.999458402082483
774,26-03,,152.500000000000000,171.000000000000000,-30,,18,ALLEY,ALLEY,,-19/21,NS,SE,INSVC,81290,18.492668475231323
789,25-01,,104.000000000000000,111.000000000000000,-21,,7,CLR,CLEARANCE,,,NP,SE,INSVC,13346,6.980884621950616
819,01-24,,253.000000000000000,260.000000000000000,-27,,7,CLR,CLEARANCE,,,NP,NE,INSVC,1026,6.992887595496552
820,26-01,,254.000000000000000,279.000000000000000,24,,25,CRBBLB,CURB BULB,,-20,NS,NW,INSVC,58617,24.926258363817688
868,01-24,,101.500000000000000,121.500000000000000,30,,20,PS,PAY STATION,240,-07,PAID,SW,INSVC,1025,19.979641302583396
884,04-26,,280.500000000000000,292.000000000000000,30,,12,CLR,CLEARANCE,,,NP,SW,INSVC,6197,11.499588085301571
940,26-01,,122.000000000000000,129.000000000000000,-24,,7,CLR,CLEARANCE,,,NP,SE,INSVC,58618,6.979360424713265
982,25-01,,293.500000000000000,305.000000000000000,21,,12,CLR,CLEARANCE,,,NP,NW,INSVC,13345,11.468665026973067
1013,26-03,,171.000000000000000,173.500000000000000,-30,,2,CLR,CLEARANCE,,,NP,SE,INSVC,81290,2.498984839360218
1059,26-01,,150.000000000000000,173.500000000000000,24,,24,ALLEY,ALLEY,,-10,NS,NW,INSVC,58617,23.430681746797653
1120,04-26,,31.000000000000000,45.500000000000000,30,,14,XW,CROSSWALK,,,NS,SW,INSVC,6197,14.499463412470863
1136,04-26,,144.500000000000000,150.500000000000000,30,,6,CLR,CLEARANCE,,,NP,SW,INSVC,6197,5.999746333573325
1150,25-01,,239.000000000000000,256.000000000000000,-21,,17,PS,PAY STATION,240,-19,PAID,SE,INSVC,13346,16.953559678655427
1152,01-23,,294.500000000000000,312.500000000000000,-28,,18,PS,PAY STATION,240,-26,PAID,NE,INSVC,24042,17.960116434758081
1178,01-24,,114.000000000000000,121.000000000000000,-27,,7,CLR,CLEARANCE,,,NP,NE,INSVC,1026,6.992844521913427
1179,26-01,,222.500000000000000,256.500000000000000,-24,,34,PLZ,PASSENGER LOAD ZONE,3,-17/19,ZONE,SE,INSVC,58618,33.899752557406586
1199,04-26,,47.500000000000000,64.500000000000000,30,,17,PS,PAY STATION,240,-01,PAID,SW,INSVC,6197,16.999386776987954
1212,25-01,,257.500000000000000,279.000000000000000,21,,22,CRBBLB,CURB BULB,,-20,NS,NW,INSVC,13345,21.441254013247800
1241,04-26,,111.000000000000000,129.000000000000000,-32,,18,PS,PAY STATION,240,-06,PAID,NE,INSVC,6198,17.999329419438073
1243,26-03,,133.000000000000000,152.500000000000000,-30,,20,BA,BARRIER AREA,,-15/17,NS,SE,INSVC,81290,19.492296862474525
1258,25-01,,145.000000000000000,150.000000000000000,-21,,5,CLR,CLEARANCE,,,NP,SE,INSVC,13346,4.986384899543945
1288,26-01,,198.500000000000000,215.500000000000000,-24,,17,PS,PAY STATION,240,-15,PAID,SE,INSVC,58618,16.949831064821872
1365,04-26,,153.000000000000000,170.000000000000000,-32,,17,PS,PAY STATION,240,-10,PAID,NE,INSVC,6198,16.999339428346214
1381,25-01,,39.000000000000000,41.500000000000000,21,,2,CLR,CLEARANCE,,,NP,NW,INSVC,13345,2.493147262623004
1410,01-24,,34.500000000000000,52.500000000000000,-27,,18,HYD,HYDRANT,,-00,NS,NE,INSVC,1026,17.981688780861425
1411,26-03,,121.000000000000000,133.000000000000000,-30,,12,PS,PAY STATION,240,-13,PAID,SE,INSVC,81290,11.995247691196438
1454,26-01,,151.000000000000000,173.000000000000000,-24,,22,ALLEY,ALLEY,,-11,NS,SE,INSVC,58618,21.935109428784418
1468,04-26,,234.500000000000000,252.500000000000000,30,,18,PS,PAY STATION,240,-19,PAID,SW,INSVC,6197,17.999372479494628
1516,26-01,,42.000000000000000,60.000000000000000,-24,,18,PS,PAY STATION,240,-01,PAID,SE,INSVC,58618,17.946897960492826
1558,25-01,,291.500000000000000,293.500000000000000,21,,2,CR,CURB RAMP,,,NS,NW,INSVC,13345,1.994499722407885
1592,04-26,,193.000000000000000,210.000000000000000,-32,,17,PS,PAY STATION,240,-14,PAID,NE,INSVC,6198,16.999386788012096
1594,26-03,,148.000000000000000,153.000000000000000,25,,5,CLR,CLEARANCE,,,NP,NW,INSVC,81289,4.998017000796895
1638,01-24,,52.500000000000000,70.500000000000000,-27,,18,PS,PAY STATION,240,-02,PAID,NE,INSVC,1026,17.981684518245068
1639,26-03,,97.000000000000000,109.000000000000000,-30,,12,PS,PAY STATION,240,-09,PAID,SE,INSVC,81290,11.995295033420746
1684,01-24,,34.000000000000000,56.000000000000000,30,,22,TAZ,TOW AWAY ZONE,,-01,NP,SW,INSVC,1025,21.977641171660711
1728,25-01,,170.000000000000000,175.000000000000000,21,,5,CLR,CLEARANCE,,,NP,NW,INSVC,13345,4.986384899543945
1746,26-03,,173.500000000000000,178.500000000000000,-30,,5,BA,BARRIER AREA,,,NS,SE,INSVC,81290,4.998060044890586
1758,04-26,,170.000000000000000,187.000000000000000,-32,,17,PS,PAY STATION,240,-12,PAID,NE,INSVC,6198,16.999386766962342
1760,26-03,,35.000000000000000,45.000000000000000,-30,,10,CR,CURB RAMP,,,NS,SE,INSVC,81290,9.996034001593790
1794,25-01,,279.000000000000000,281.500000000000000,21,,2,CR,CURB RAMP,,,NS,NW,INSVC,13345,2.493190276562204
1812,26-03,,49.000000000000000,64.000000000000000,25,,15,CRBBLB,CURB BULB,,-00,NS,NW,INSVC,81289,14.994094035309574
1826,26-03,,224.500000000000000,236.500000000000000,-30,,12,PS,PAY STATION,240,-31,PAID,SE,INSVC,81290,11.995247680171252
1841,25-01,,31.000000000000000,41.000000000000000,-21,,10,XW,CROSSWALK,,,NS,SE,INSVC,13346,9.972722417362114
1870,01-24,,121.000000000000000,144.000000000000000,-27,,23,CVLZ,COMMERCIAL VEHICLE LOAD ZONE,30,-08T,LOAD,NE,INSVC,1026,22.976572233629241
1871,26-01,,279.000000000000000,307.000000000000000,24,,28,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,NW,INSVC,58617,27.917407308872676
1917,01-24,,56.000000000000000,75.000000000000000,30,,19,PLZ,PASSENGER LOAD ZONE,3,-03,ZONE,SW,INSVC,1025,18.980619831725555
